"causabas","capitulo_cid10","grupo_cid10","causabas_categoria","causabas_subcategoria"
"R458"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento","R45 Sintomas e sinais relativos ao estado emocional","R458 Outros sintomas e sinais relativos ao estado emocional"
"R460"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento","R46 Sintomas e sinais relativos à aparência e ao comportamento","R460 Baixo nível de higiene pessoal"
"R461"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento","R46 Sintomas e sinais relativos à aparência e ao comportamento","R461 Aparência pessoal bizarra"
"R462"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento","R46 Sintomas e sinais relativos à aparência e ao comportamento","R462 Comportamento estranho e inexplicável"
"R463"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento","R46 Sintomas e sinais relativos à aparência e ao comportamento","R463 Hiperatividade"
"R464"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento","R46 Sintomas e sinais relativos à aparência e ao comportamento","R464 Lentidão e baixa reatividade"
"R465"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento","R46 Sintomas e sinais relativos à aparência e ao comportamento","R465 Personalidade suspeita e evasiva"
"R466"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento","R46 Sintomas e sinais relativos à aparência e ao comportamento","R466 Inquietação e preocupação exageradas com acontecimentos ""estressantes"""
"R467"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento","R46 Sintomas e sinais relativos à aparência e ao comportamento","R467 Verborragia e pormenores circunstanciais mascarando o motivo da consulta"
"R468"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento","R46 Sintomas e sinais relativos à aparência e ao comportamento","R468 Outros sintomas e sinais relativos à aparência e ao comportamento"
"R470"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R47 Distúrbios da fala não classificados em outra parte","R470 Disfasia e afasia"
"R471"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R47 Distúrbios da fala não classificados em outra parte","R471 Disartria e anartria"
"R478"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R47 Distúrbios da fala não classificados em outra parte","R478 Outros distúrbios da fala e os não especificados"
"R480"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R48 Dislexia e outras disfunções simbólicas, não classificadas em outra parte","R480 Dislexia e alexia"
"R481"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R48 Dislexia e outras disfunções simbólicas, não classificadas em outra parte","R481 Agnosia"
"R482"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R48 Dislexia e outras disfunções simbólicas, não classificadas em outra parte","R482 Apraxia"
"R488"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R48 Dislexia e outras disfunções simbólicas, não classificadas em outra parte","R488 Outras disfunções simbólicas e as não especificadas"
"R490"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R49 Distúrbios da voz","R490 Disfonia"
"R491"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R49 Distúrbios da voz","R491 Afonia"
"R492"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R49 Distúrbios da voz","R492 Hipernasalidade e hiponasalidade"
"R498"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais relativos à fala e à voz","R49 Distúrbios da voz","R498 Outros distúrbios da voz e os não especificados"
"R502"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R50 Febre de origem desconhecida e de outras origens","R502 Febre induzida por drogas"
"R508"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R50 Febre de origem desconhecida e de outras origens","R508 Outra febre especificada"
"R509"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R50 Febre de origem desconhecida e de outras origens","R509 Febre não especificada"
"R51"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R51 Cefaléia","R51 Cefaléia"
"R520"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R52 Dor não classificada em outra parte","R520 Dor aguda"
"R521"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R52 Dor não classificada em outra parte","R521 Dor crônica intratável"
"R522"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R52 Dor não classificada em outra parte","R522 Outra dor crônica"
"R529"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R52 Dor não classificada em outra parte","R529 Dor não especificada"
"R53"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R53 Mal estar, fadiga","R53 Mal estar, fadiga"
"R54"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R54 Senilidade","R54 Senilidade"
"R55"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R55 Síncope e colapso","R55 Síncope e colapso"
"R560"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R56 Convulsões, não classificadas em outra parte","R560 Convulsões febris"
"R568"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R56 Convulsões, não classificadas em outra parte","R568 Outras convulsões e as não especificadas"
"R570"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R57 Choque não classificado em outra parte","R570 Choque cardiogênico"
"R571"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R57 Choque não classificado em outra parte","R571 Choque hipovolêmico"
"R578"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R57 Choque não classificado em outra parte","R578 Outras formas de choque"
"R579"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R57 Choque não classificado em outra parte","R579 Choque não especificado"
"R58"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R58 Hemorragia não classificada em outra parte","R58 Hemorragia não classificada em outra parte"
"R590"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R59 Aumento de volume dos gânglios linfáticos","R590 Aumento de volume localizado de gânglios linfáticos"
"R591"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R59 Aumento de volume dos gânglios linfáticos","R591 Aumento de volume generalizado de gânglios linfáticos"
"R599"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R59 Aumento de volume dos gânglios linfáticos","R599 Adenomegalia ou aumento de volume dos gânglios linfáticos, não especificado"
"R600"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R60 Edema não classificado em outra parte","R600 Edema localizado"
"R601"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R60 Edema não classificado em outra parte","R601 Edema generalizado"
"R609"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R60 Edema não classificado em outra parte","R609 Edema não especificado"
"R610"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R61 Hiperidrose","R610 Hiperidrose localizada"
"R611"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R61 Hiperidrose","R611 Hiperidrose generalizada"
"R619"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R61 Hiperidrose","R619 Hiperidrose não especificada"
"R620"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R62 Retardo do desenvolvimento fisiológico normal","R620 Retardo de maturação"
"R628"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R62 Retardo do desenvolvimento fisiológico normal","R628 Outras formas de retardo do desenvolvimento fisiológico normal"
"R629"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R62 Retardo do desenvolvimento fisiológico normal","R629 Retardo do desenvolvimento fisiológico normal, não especificado"
"R630"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R63 Sintomas e sinais relativos à ingestão de alimentos e líquidos","R630 Anorexia"
"R631"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R63 Sintomas e sinais relativos à ingestão de alimentos e líquidos","R631 Polidipsia"
"R632"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R63 Sintomas e sinais relativos à ingestão de alimentos e líquidos","R632 Polifagia"
"R633"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R63 Sintomas e sinais relativos à ingestão de alimentos e líquidos","R633 Dificuldades de alimentação e erros na administração de alimentos"
"R634"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R63 Sintomas e sinais relativos à ingestão de alimentos e líquidos","R634 Perda de peso anormal"
"R635"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R63 Sintomas e sinais relativos à ingestão de alimentos e líquidos","R635 Ganho de peso anormal"
"R638"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R63 Sintomas e sinais relativos à ingestão de alimentos e líquidos","R638 Outros sintomas e sinais relativos a ingestão de alimentos e de líquidos"
"R64"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R64 Caquexia","R64 Caquexia"
"R680"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R68 Outros sintomas e sinais gerais","R680 Hipotermia não associada à baixa temperatura ambiental"
"R681"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R68 Outros sintomas e sinais gerais","R681 Sintomas não específicos peculiares à infância"
"R682"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R68 Outros sintomas e sinais gerais","R682 Boca seca, não especificada"
"R683"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R68 Outros sintomas e sinais gerais","R683 Baqueteamento dos dedos"
"R688"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R68 Outros sintomas e sinais gerais","R688 Outros sintomas e sinais gerais especificados"
"R69"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Sintomas e sinais gerais","R69 Causas desconhecidas e não especificadas de morbidade","R69 Causas desconhecidas e não especificadas de morbidade"
"R700"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R70 Velocidade de hemossedimentação elevada e outras anormalidades da viscosidade plasmática","R700 Velocidade de hemossedimentação elevada"
"R701"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R70 Velocidade de hemossedimentação elevada e outras anormalidades da viscosidade plasmática","R701 Viscosidade plasmática anormal"
"R71"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R71 Anormalidade das hemácias","R71 Anormalidade das hemácias"
"R72"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R72 Anormalidade dos leucócitos não classificada em outra parte","R72 Anormalidade dos leucócitos não classificada em outra parte"
"R730"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R73 Aumento da glicemia","R730 Teste de tolerância a glicose anormal"
"R739"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R73 Aumento da glicemia","R739 Hiperglicemia não especificada"
"R740"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R74 Anormalidades dos níveis de enzimas séricas","R740 Aumento dos níveis de transaminases e da desidrogenase lática (DHL)"
"R748"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R74 Anormalidades dos níveis de enzimas séricas","R748 Níveis anormais de outras enzimas séricas"
"R749"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R74 Anormalidades dos níveis de enzimas séricas","R749 Anormalidade dos níveis de enzimas séricas, não especificada"
"R75"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R75 Evidência laboratorial do vírus da imunodeficiência humana (HIV)","R75 Evidência laboratorial do vírus da imunodeficiência humana (HIV)"
"R760"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R76 Outros achados imunológicos anormais no soro","R760 Título aumentado de anticorpos"
"R761"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R76 Outros achados imunológicos anormais no soro","R761 Reação anormal ao teste da tuberculina"
"R762"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R76 Outros achados imunológicos anormais no soro","R762 Exame sorológico falso positivo para sífilis"
"R768"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R76 Outros achados imunológicos anormais no soro","R768 Outros achados imunológicos especificados anormais no soro"
"R769"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R76 Outros achados imunológicos anormais no soro","R769 Achado anormal de exame imunológico sérico, não especificado"
"R770"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R77 Outras anormalidades das proteínas plasmáticas","R770 Anormalidade da albumina"
"R771"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R77 Outras anormalidades das proteínas plasmáticas","R771 Anormalidade das globulinas"
"R772"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R77 Outras anormalidades das proteínas plasmáticas","R772 Anormalidade da alfafetoproteína"
"R778"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R77 Outras anormalidades das proteínas plasmáticas","R778 Outras anormalidades especificadas das proteínas plasmáticas"
"R779"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R77 Outras anormalidades das proteínas plasmáticas","R779 Anormalidades de proteína plasmática, não especificadas"
"R780"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R78 Presença de drogas e de outras substâncias normalmente não encontradas no sangue","R780 Presença de álcool no sangue"
"R781"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R78 Presença de drogas e de outras substâncias normalmente não encontradas no sangue","R781 Presença de opiáceos no sangue"
"R782"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R78 Presença de drogas e de outras substâncias normalmente não encontradas no sangue","R782 Presença de cocaína no sangue"
"R783"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R78 Presença de drogas e de outras substâncias normalmente não encontradas no sangue","R783 Presença de alucinógeno no sangue"
"R784"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R78 Presença de drogas e de outras substâncias normalmente não encontradas no sangue","R784 Presença de outras drogas com potencial de causar dependência, no sangue"
"R785"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R78 Presença de drogas e de outras substâncias normalmente não encontradas no sangue","R785 Presença de droga psicotrópica no sangue"
"R786"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R78 Presença de drogas e de outras substâncias normalmente não encontradas no sangue","R786 Presença de agente esteróide no sangue"
"R787"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R78 Presença de drogas e de outras substâncias normalmente não encontradas no sangue","R787 Presença de nível anormal de metais pesados no sangue"
"R788"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R78 Presença de drogas e de outras substâncias normalmente não encontradas no sangue","R788 Presença de outras substâncias especificadas não normalmente encontradas no sangue"
"R789"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R78 Presença de drogas e de outras substâncias normalmente não encontradas no sangue","R789 Presença de substância não especificada normalmente não encontrada no sangue"
"R790"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R79 Outros achados anormais de exames químicos do sangue","R790 Anormalidade do nível de elementos minerais no sangue"
"R798"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R79 Outros achados anormais de exames químicos do sangue","R798 Outros achados anormais especificados de exames químicos do sangue"
"R799"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de sangue, sem diagnóstico","R79 Outros achados anormais de exames químicos do sangue","R799 Achado anormal de exame químico do sangue, não especificado"
"R80"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R80 Proteinúria isolada","R80 Proteinúria isolada"
"R81"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R81 Glicosúria","R81 Glicosúria"
"R820"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R82 Outros achados anormais na urina","R820 Quilúria"
"R821"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R82 Outros achados anormais na urina","R821 Mioglobinúria"
"R822"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R82 Outros achados anormais na urina","R822 Biliúria"
"R823"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R82 Outros achados anormais na urina","R823 Hemoglobinúria"
"R824"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R82 Outros achados anormais na urina","R824 Acetonúria"
"R825"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R82 Outros achados anormais na urina","R825 Níveis urinários elevados de drogas, medicamentos e substâncias biológicas"
"R826"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R82 Outros achados anormais na urina","R826 Níveis urinários anormais de substâncias cuja origem é essencialmente não-medicinal"
"R827"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R82 Outros achados anormais na urina","R827 Achados anormais ao exame microbiológico da urina"
"R828"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R82 Outros achados anormais na urina","R828 Achados anormais ao exame citológico e histológico da urina"
"R829"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames de urina, sem diagnóstico","R82 Outros achados anormais na urina","R829 Outros achados anormais na urina e os não especificados"
"R830"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R83 Achados anormais no líquido cefalorraquidiano","R830 Achados anormais no líquido cefalorraquidiano - nível enzimático anormal"
"R831"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R83 Achados anormais no líquido cefalorraquidiano","R831 Achados anormais no líquido cefalorraquidiano - nível hormonal anormal"
"R832"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R83 Achados anormais no líquido cefalorraquidiano","R832 Achados anormais no líquido cefalorraquidiano - nível anormal de outras drogas, medicamentos e substâncias biológicas"
"R833"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R83 Achados anormais no líquido cefalorraquidiano","R833 Achados anormais no líquido cefalorraquidiano - nível anormal de substâncias cuja origem é essencialmente não medicinal"
"R834"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R83 Achados anormais no líquido cefalorraquidiano","R834 Achados anormais no líquido cefalorraquidiano - achados imunológicos anormais"
"R835"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R83 Achados anormais no líquido cefalorraquidiano","R835 Achados anormais no líquido cefalorraquidiano - achados microbiológicos anormais"
"R836"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R83 Achados anormais no líquido cefalorraquidiano","R836 Achados anormais no líquido cefalorraquidiano - achados citológicos anormais"
"R837"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R83 Achados anormais no líquido cefalorraquidiano","R837 Achados anormais no líquido cefalorraquidiano - achados histológicos anormais"
"R838"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R83 Achados anormais no líquido cefalorraquidiano","R838 Achados anormais no líquido cefalorraquidiano - outros achados anormais"
"R839"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R83 Achados anormais no líquido cefalorraquidiano","R839 Achados anormais no líquido cefalorraquidiano - achado anormal não especificado"
"R840"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R84 Achados anormais de material proveniente dos órgãos respiratórios e do tórax","R840 Achados anormais de material proveniente dos órgãos respiratórios e do tórax - nível enzimático anormal"
"R841"," XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte","Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico","R84 Achados anormais de material proveniente dos órgãos respiratórios e do tórax","R841 Achados anormais de material proveniente dos órgãos respiratórios e do tórax - nível hormonal anormal"
